State,Year,Category,E-Waste Generated (Tonnes),E-Waste Collected (Tonnes),Collection Rate (%),Recycled (Tonnes),Recycling Efficiency (%),Hazardous Waste (Tonnes),Region
Uttar Pradesh,2020,Mobile Phones & Tablets,"2,713.20",510.7,0.188,366.4,0.717,588.5,North
Uttar Pradesh,2020,Television & Monitors,"1,886.00",419,0.222,319.5,0.763,387,North
Uttar Pradesh,2020,Refrigerators & AC,"1,986.00",462,0.233,321.1,0.695,301.2,North
Uttar Pradesh,2020,Washing Machines,"1,101.30",249.3,0.226,204,0.818,136.1,North
Uttar Pradesh,2020,Printers & Scanners,820.8,179.2,0.218,148.8,0.83,180.4,North
Uttar Pradesh,2020,Batteries & Cells,"1,246.90",256.7,0.206,160.3,0.624,228.7,North
Uttar Pradesh,2020,Lighting Equipment,712.5,147.1,0.206,113.8,0.774,149.9,North
Uttar Pradesh,2021,Computers & Peripherals,"2,681.70",788.4,0.294,530.9,0.673,422.3,North
Uttar Pradesh,2021,Mobile Phones & Tablets,"2,503.30",682.2,0.273,505.8,0.741,498.8,North
Uttar Pradesh,2021,Television & Monitors,"1,889.50",445.7,0.236,364.5,0.818,343.8,North
Uttar Pradesh,2021,Refrigerators & AC,"1,796.10",545,0.303,346.5,0.636,298.4,North
Uttar Pradesh,2021,Washing Machines,"1,029.80",257.6,0.25,155.2,0.602,206.4,North
Uttar Pradesh,2021,Printers & Scanners,"1,049.80",298.5,0.284,190.9,0.64,172.3,North
Uttar Pradesh,2021,Batteries & Cells,"1,185.60",328.5,0.277,249.6,0.76,192.6,North
Uttar Pradesh,2021,Lighting Equipment,643,191.6,0.298,124.5,0.65,101.9,North
Uttar Pradesh,2022,Computers & Peripherals,"3,102.60",857.4,0.276,637,0.743,550.7,North
Uttar Pradesh,2022,Mobile Phones & Tablets,"3,166.90",891.7,0.282,753,0.844,588.5,North
Uttar Pradesh,2022,Television & Monitors,"2,009.00",614.6,0.306,474.1,0.771,390.7,North
Uttar Pradesh,2022,Refrigerators & AC,"1,767.80",547.3,0.31,396.3,0.724,372,North
Uttar Pradesh,2022,Washing Machines,"1,074.70",351.3,0.327,264.1,0.752,166.8,North
Uttar Pradesh,2022,Printers & Scanners,"1,023.70",318.2,0.311,244.8,0.769,196.6,North
Uttar Pradesh,2022,Batteries & Cells,"1,323.10",437.2,0.33,331,0.757,278.3,North
Uttar Pradesh,2022,Lighting Equipment,732.9,207.3,0.283,147.2,0.71,130.4,North
Uttar Pradesh,2023,Computers & Peripherals,"3,400.40",984.2,0.289,663.1,0.674,662.2,North
Uttar Pradesh,2023,Mobile Phones & Tablets,"2,700.10",792.7,0.294,582.5,0.735,586.3,North
Uttar Pradesh,2023,Television & Monitors,"2,212.30",820.6,0.371,662.7,0.808,322.3,North
Uttar Pradesh,2023,Refrigerators & AC,"2,209.30",725.1,0.328,581.3,0.802,430.1,North
Uttar Pradesh,2023,Washing Machines,"1,125.90",328.7,0.292,276.3,0.841,151,North
Uttar Pradesh,2023,Printers & Scanners,"1,139.50",416.7,0.366,325.5,0.781,248.4,North
Uttar Pradesh,2023,Batteries & Cells,"1,465.40",527.8,0.36,364.9,0.691,291.7,North
Uttar Pradesh,2023,Lighting Equipment,646.6,215.7,0.334,153.9,0.713,121.1,North
Gujarat,2018,Computers & Peripherals,"2,520.10",568.5,0.226,458,0.806,539.4,West
Gujarat,2018,Mobile Phones & Tablets,"1,993.20",403.5,0.202,244.6,0.606,415.4,West
Gujarat,2018,Television & Monitors,"1,674.30",414.2,0.247,271.4,0.655,211.5,West
Gujarat,2018,Refrigerators & AC,"1,659.70",410,0.247,277,0.676,266.9,West
Gujarat,2018,Washing Machines,803.9,200.5,0.249,135.6,0.676,136.1,West
Gujarat,2018,Printers & Scanners,695.6,170.8,0.246,108.3,0.634,115,West
Gujarat,2018,Batteries & Cells,"1,030.50",243.2,0.236,203.4,0.836,166.9,West
Gujarat,2018,Lighting Equipment,582,114.8,0.197,80.8,0.704,75.6,West
Gujarat,2019,Computers & Peripherals,"2,679.30",651.4,0.243,545.8,0.838,330.3,West
Gujarat,2019,Mobile Phones & Tablets,"2,366.10",581.5,0.246,487.1,0.838,486.3,West
Gujarat,2019,Television & Monitors,"1,655.40",436.9,0.264,321.6,0.736,360.5,West
Gujarat,2019,Refrigerators & AC,"1,651.40",400.2,0.242,259.1,0.647,218.3,West
Gujarat,2019,Washing Machines,"1,058.40",261,0.247,199.8,0.766,194.9,West
Gujarat,2019,Printers & Scanners,874.6,187.3,0.214,149.2,0.797,126.3,West
Gujarat,2019,Batteries & Cells,"1,000.20",254.9,0.255,157.3,0.617,196.6,West
Gujarat,2019,Lighting Equipment,567.6,129.8,0.229,106.1,0.817,86.8,West
Gujarat,2020,Computers & Peripherals,"2,414.70",568,0.235,341.2,0.601,497,West
Gujarat,2020,Mobile Phones & Tablets,"2,193.50",409.5,0.187,271.4,0.663,301.5,West
Gujarat,2020,Television & Monitors,"1,868.00",336.5,0.18,203.2,0.604,371.7,West
Gujarat,2020,Refrigerators & AC,"1,573.00",312.9,0.199,201.4,0.644,197,West
Gujarat,2020,Washing Machines,"1,014.80",214.8,0.212,168.9,0.786,170.1,West
Gujarat,2020,Printers & Scanners,895.3,188.8,0.211,118.4,0.627,152.5,West
Gujarat,2020,Batteries & Cells,"1,194.50",216.5,0.181,172.3,0.796,246.9,West
Gujarat,2020,Lighting Equipment,602.6,125,0.207,105.1,0.841,76,West
Gujarat,2021,Computers & Peripherals,"2,744.90",719.2,0.262,554.9,0.772,464,West
Gujarat,2021,Mobile Phones & Tablets,"2,754.60",648.6,0.235,402.3,0.62,498.1,West
Gujarat,2021,Television & Monitors,"1,684.90",424.2,0.252,321.7,0.758,294.6,West
Gujarat,2021,Refrigerators & AC,"1,681.90",521.5,0.31,382.1,0.733,278.1,West
Gujarat,2021,Washing Machines,"1,028.60",244.3,0.238,189.4,0.775,211.2,West
Gujarat,2021,Printers & Scanners,909.6,265.4,0.292,207.1,0.78,128.7,West
Gujarat,2021,Batteries & Cells,"1,115.50",276.7,0.248,189.5,0.685,184.4,West
Gujarat,2021,Lighting Equipment,614.4,145.7,0.237,103,0.707,114.6,West
Gujarat,2022,Computers & Peripherals,"2,769.50",744.3,0.269,618.3,0.831,350.9,West
Gujarat,2022,Mobile Phones & Tablets,"2,802.70",738.2,0.263,460.7,0.624,543.4,West
Gujarat,2022,Television & Monitors,"2,092.70",638.4,0.305,476.6,0.747,368.6,West
Gujarat,2022,Refrigerators & AC,"1,742.90",463.6,0.266,319.1,0.688,325.1,West
Gujarat,2022,Washing Machines,"1,100.80",366.7,0.333,286.1,0.78,238.7,West
Gujarat,2022,Printers & Scanners,930.5,266.7,0.287,198.6,0.745,131.5,West
Gujarat,2022,Batteries & Cells,"1,212.10",333.5,0.275,209.1,0.627,247.9,West
Gujarat,2022,Lighting Equipment,628.4,203.4,0.324,151.2,0.743,126.1,West
Gujarat,2023,Computers & Peripherals,"3,197.00","1,205.20",0.377,969.7,0.805,579.8,West
Gujarat,2023,Mobile Phones & Tablets,"2,775.90",785.9,0.283,654.1,0.832,563.4,West
Gujarat,2023,Television & Monitors,"1,900.60",567.1,0.298,439.9,0.776,286.8,West
Gujarat,2023,Refrigerators & AC,"1,806.60",507.8,0.281,415.1,0.817,319.1,West
Gujarat,2023,Washing Machines,"1,048.00",308.7,0.295,234.1,0.758,129,West
Gujarat,2023,Printers & Scanners,994.9,300.3,0.302,211.7,0.705,153.3,West
Gujarat,2023,Batteries & Cells,"1,170.10",411.8,0.352,327.1,0.794,206.8,West
Gujarat,2023,Lighting Equipment,604.2,172.6,0.286,110.4,0.64,109.8,West
West Bengal,2018,Computers & Peripherals,"2,291.90",469.7,0.205,359.5,0.765,386.3,East
West Bengal,2018,Mobile Phones & Tablets,"1,972.20",404.4,0.205,319,0.789,259.1,East
